No,;Time;Source;Destination;Protocol;Length;Info;;Time 1;Time 2;Delay;;Delay 1;Delay 2;Jitter
33;5.472.928;40,90,137,120;192,168,43,84;TCP;1434;443  >  57200 [ACK] Seq=1 Ack=226 Win=262144 Len=1380 [TCP segment of a reassembled PDU];;5,472928;5,474116;0,001188;;0,001151;3,70E-05;-0,001114
34;5.474.116;40,90,137,120;192,168,43,84;TCP;1434;443  >  57200 [ACK] Seq=1381 Ack=226 Win=262144 Len=1380 [TCP segment of a reassembled PDU];;5,474116;5,474153;3,70E-05;;-0,00026;0,000297;0,000557
35;5.474.153;192,168,43,84;40,90,137,120;TCP;54;57200  >  443 [ACK] Seq=226 Ack=2761 Win=131072 Len=0;;5,474153;5,47445;0,000297;;-0,001479;0,001776;0,003255
36;5.474.450;40,90,137,120;192,168,43,84;TLSv1,2;1067;Server Hello, Certificate, Certificate Status, Server Key Exchange, Server Hello Done;;5,47445;5,476226;0,001776;;-0,070564;0,07234;0,142904
37;5.476.226;192,168,43,84;40,90,137,120;TLSv1,2;180;Client Key Exchange, Change Cipher Spec, Encrypted Handshake Message;;5,476226;5,548566;0,07234;;-0,155035;0,227375;0,38241
38;5.548.566;52,114,77,164;192,168,43,84;TCP;54;443  >  56981 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0;;5,548566;5,775941;0,227375;;0,227316;5,90E-05;-0,227257
39;5.775.941;40,90,137,120;192,168,43,84;TLSv1,2;105;Change Cipher Spec, Encrypted Handshake Message;;5,775941;5,776;5,90E-05;;1,40E-05;4,50E-05;3,10E-05
40;5.776.000;40,90,137,120;192,168,43,84;TLSv1,2;123;Application Data;;5,776;5,776045;4,50E-05;;-0,000409;0,000454;0,000863
41;5.776.045;192,168,43,84;40,90,137,120;TCP;54;57200  >  443 [ACK] Seq=352 Ack=3894 Win=129792 Len=0;;5,776045;5,776499;0,000454;;0,000392;6,20E-05;-0,00033
42;5.776.499;192,168,43,84;40,90,137,120;TLSv1,2;141;Application Data;;5,776499;5,776561;6,20E-05;;3,30E-05;2,90E-05;-4,00E-06
43;5.776.561;192,168,43,84;40,90,137,120;TLSv1,2;92;Application Data;;5,776561;5,77659;2,90E-05;;-1,80E-05;4,70E-05;6,50E-05
44;5.776.590;192,168,43,84;40,90,137,120;TLSv1,2;315;Application Data;;5,77659;5,776637;4,70E-05;;4,70E-05;0;-4,70E-05
45;5.776.637;192,168,43,84;40,90,137,120;TCP;1434;57200  >  443 [ACK] Seq=738 Ack=3894 Win=129792 Len=1380 [TCP segment of a reassembled PDU];;5,776637;5,776637;0;;0;0;0
46;5.776.637;192,168,43,84;40,90,137,120;TCP;1434;57200  >  443 [ACK] Seq=2118 Ack=3894 Win=129792 Len=1380 [TCP segment of a reassembled PDU];;5,776637;5,776637;0;;0;0;0
47;5.776.637;192,168,43,84;40,90,137,120;TCP;1434;57200  >  443 [ACK] Seq=3498 Ack=3894 Win=129792 Len=1380 [TCP segment of a reassembled PDU];;5,776637;5,776637;0;;-0,281226;0,281226;0,562452
48;5.776.637;192,168,43,84;40,90,137,120;TLSv1,2;728;Application Data;;5,776637;6,057863;0,281226;;0,281139;8,70E-05;-0,281052
49;6.057.863;40,90,137,120;192,168,43,84;TCP;54;443  >  57200 [ACK] Seq=3894 Ack=477 Win=261888 Len=0;;6,057863;6,05795;8,70E-05;;-0,012242;0,012329;0,024571
50;6.057.950;40,90,137,120;192,168,43,84;TLSv1,2;92;Application Data;;6,05795;6,070279;0,012329;;0,010122;0,002207;-0,007915
51;6.070.279;40,90,137,120;192,168,43,84;TCP;54;443  >  57200 [ACK] Seq=3932 Ack=3498 Win=262144 Len=0;;6,070279;6,072486;0,002207;;0,002053;0,000154;-0,001899
52;6.072.486;40,90,137,120;192,168,43,84;TCP;54;443  >  57200 [ACK] Seq=3932 Ack=5552 Win=262144 Len=0;;6,072486;6,07264;0,000154;;0,000154;0;-0,000154
53;6.072.640;40,90,137,120;192,168,43,84;TLSv1,2;164;Application Data, Application Data;;6,07264;6,07264;0;;-8,20E-05;8,20E-05;0,000164
54;6.072.640;40,90,137,120;192,168,43,84;TLSv1,2;96;Application Data;;6,07264;6,072722;8,20E-05;;-0,018274;0,018356;0,03663
55;6.072.722;192,168,43,84;40,90,137,120;TCP;54;57200  >  443 [ACK] Seq=5552 Ack=4084 Win=129536 Len=0;;6,072722;6,091078;0,018356;;0,01701;0,001346;-0,015664
56;6.091.078;40,90,137,120;192,168,43,84;TCP;1434;443  >  57200 [ACK] Seq=4084 Ack=5552 Win=262144 Len=1380 [TCP segment of a reassembled PDU];;6,091078;6,092424;0,001346;;0,001168;0,000178;-0,00099
57;6.092.424;40,90,137,120;192,168,43,84;TCP;8334;443  >  57200 [ACK] Seq=5464 Ack=5552 Win=262144 Len=8280 [TCP segment of a reassembled PDU];;6,092424;6,092602;0,000178;;-0,004396;0,004574;0,00897
58;6.092.602;192,168,43,84;40,90,137,120;TCP;54;57200  >  443 [ACK] Seq=5552 Ack=13744 Win=131072 Len=0;;6,092602;6,097176;0,004574;;0,004441;0,000133;-0,004308
59;6.097.176;40,90,137,120;192,168,43,84;TCP;1434;443  >  57200 [ACK] Seq=13744 Ack=5552 Win=262144 Len=1380 [TCP segment of a reassembled PDU];;6,097176;6,097309;0,000133;;-2,40E-05;0,000157;0,000181
60;6.097.309;192,168,43,84;40,90,137,120;TCP;54;57200  >  443 [ACK] Seq=5552 Ack=15124 Win=131072 Len=0;;6,097309;6,097466;0,000157;;0,000157;0;-0,000157
61;6.097.466;40,90,137,120;192,168,43,84;TLSv1,2;554;Application Data;;6,097466;6,097466;0;;-8,80E-05;8,80E-05;0,000176
62;6.097.466;40,90,137,120;192,168,43,84;TLSv1,2;92;Application Data;;6,097466;6,097554;8,80E-05;;-0,0785;0,078588;0,157088
63;6.097.554;192,168,43,84;40,90,137,120;TCP;54;57200  >  443 [ACK] Seq=5552 Ack=15662 Win=130560 Len=0;;6,097554;6,176142;0,078588;;-0,211081;0,289669;0,50075
64;6.176.142;192,168,43,84;184,72,128,137;TCP;55;56880  >  443 [ACK] Seq=1 Ack=1 Win=64666 Len=1 [TCP segment of a reassembled PDU];;6,176142;6,465811;0,289669;;0,289669;0;-0,289669
65;6.465.811;192,168,43,84;20,189,123,78;TCP;1434;57186  >  443 [ACK] Seq=1 Ack=1 Win=1022 Len=1380 [TCP segment of a reassembled PDU];;6,465811;6,465811;0;;-0,018255;0,018255;0,03651
66;6.465.811;192,168,43,84;20,189,123,78;TLSv1,2;659;Application Data;;6,465811;6,484066;0,018255;;-0,077311;0,095566;0,172877
67;6.484.066;184,72,128,137;192,168,43,84;TCP;54;443  >  56880 [ACK] Seq=1 Ack=2 Win=35880 Len=0;;6,484066;6,579632;0,095566;;0,012145;0,083421;0,071276
68;6.579.632;20,189,123,78;192,168,43,84;TCP;54;443  >  57186 [ACK] Seq=1 Ack=1986 Win=1024 Len=0;;6,579632;6,663053;0,083421;;0,083356;6,50E-05;-0,083291
69;6.663.053;20,189,123,78;192,168,43,84;TCP;1434;443  >  57186 [ACK] Seq=1 Ack=1986 Win=1024 Len=1380 [TCP segment of a reassembled PDU];;6,663053;6,663118;6,50E-05;;-0,015405;0,01547;0,030875
70;6.663.118;192,168,43,84;20,189,123,78;TCP;54;57186  >  443 [ACK] Seq=1986 Ack=1381 Win=1024 Len=0;;6,663118;6,678588;0,01547;;0,015397;7,30E-05;-0,015324
71;6.678.588;20,189,123,78;192,168,43,84;TCP;1434;443  >  57186 [ACK] Seq=1381 Ack=1986 Win=1024 Len=1380 [TCP segment of a reassembled PDU];;6,678588;6,678661;7,30E-05;;-0,000609;0,000682;0,001291
72;6.678.661;192,168,43,84;20,189,123,78;TCP;54;57186  >  443 [ACK] Seq=1986 Ack=2761 Win=1024 Len=0;;6,678661;6,679343;0,000682;;0,000682;0;-0,000682
73;6.679.343;20,189,123,78;192,168,43,84;TCP;4194;443  >  57186 [ACK] Seq=2761 Ack=1986 Win=1024 Len=4140 [TCP segment of a reassembled PDU];;6,679343;6,679343;0;;0;0;0
74;6.679.343;20,189,123,78;192,168,43,84;TLSv1,2;529;Application Data;;6,679343;6,679343;0;;-8,80E-05;8,80E-05;0,000176
75;6.679.343;20,189,123,78;192,168,43,84;TLSv1,2;92;Application Data;;6,679343;6,679431;8,80E-05;;-0,554025;0,554113;1,108138
76;6.679.431;192,168,43,84;20,189,123,78;TCP;54;57186  >  443 [ACK] Seq=1986 Ack=7414 Win=1024 Len=0;;6,679431;7,233544;0,554113;;0,554065;4,80E-05;-0,554017
77;7.233.544;192,168,43,84;104.118.106.235;TCP;55;56892  >  443 [ACK] Seq=1 Ack=1 Win=512 Len=1 [TCP segment of a reassembled PDU];;7,233544;7,233592;4,80E-05;;-0,062432;0,06248;0,124912
78;7.233.592;192,168,43,84;104.118.106.235;TCP;55;56891  >  443 [ACK] Seq=1 Ack=1 Win=506 Len=1 [TCP segment of a reassembled PDU];;7,233592;7,296072;0,06248;;0,062363;0,000117;-0,062246
79;7.296.072;104.118.106.235;192,168,43,84;TCP;66;443  >  56892 [ACK] Seq=1 Ack=2 Win=254 Len=0 SLE=1 SRE=2;;7,296072;7,296189;0,000117;;-0,216883;0,217;0,433883
80;7.296.189;104.118.106.235;192,168,43,84;TCP;66;443  >  56891 [ACK] Seq=1 Ack=2 Win=254 Len=0 SLE=1 SRE=2;;7,296189;7,513189;0,217;;0,155491;0,061509;-0,093982
81;7.513.189;192,168,43,84;104.118.106.235;TCP;55;56889  >  443 [ACK] Seq=1 Ack=1 Win=512 Len=1 [TCP segment of a reassembled PDU];;7,513189;7,574698;0,061509;;-0,681303;0,742812;1,424115
