No,;Time;Source;Destination;Protocol;Length;Info;;Time 1;Time 2;Delay;;Delay 1;Delay 2;Jitter
346;20.375.951;104.118.148.140;192,168,43,84;TCP;1434;443  >  57209 [ACK] Seq=7367 Ack=618 Win=31360 Len=1380 [TCP segment of a reassembled PDU];;20,375951;20,375986;3,50E-05;;-0,011813;0,011848;0,023661
347;20.375.986;192,168,43,84;104.118.148.140;TCP;54;57209  >  443 [ACK] Seq=618 Ack=8747 Win=131072 Len=0;;20,375986;20,387834;0,011848;;0,011766;8,20E-05;-0,011684
348;20.387.834;104.118.148.140;192,168,43,84;TCP;6954;443  >  57209 [ACK] Seq=8747 Ack=618 Win=31360 Len=6900 [TCP segment of a reassembled PDU];;20,387834;20,387916;8,20E-05;;-0,000537;0,000619;0,001156
349;20.387.916;192,168,43,84;104.118.148.140;TCP;54;57209  >  443 [ACK] Seq=618 Ack=15647 Win=131072 Len=0;;20,387916;20,388535;0,000619;;0,00053;8,90E-05;-0,000441
350;20.388.535;104.118.148.140;192,168,43,84;TCP;1434;443  >  57209 [ACK] Seq=15647 Ack=618 Win=31360 Len=1380 [TCP segment of a reassembled PDU];;20,388535;20,388624;8,90E-05;;-0,000627;0,000716;0,001343
351;20.388.624;192,168,43,84;104.118.148.140;TCP;54;57209  >  443 [ACK] Seq=618 Ack=17027 Win=131072 Len=0;;20,388624;20,38934;0,000716;;0,000585;0,000131;-0,000454
352;20.389.340;104.118.148.140;192,168,43,84;TCP;4194;443  >  57209 [ACK] Seq=17027 Ack=618 Win=31360 Len=4140 [TCP segment of a reassembled PDU];;20,38934;20,389471;0,000131;;-0,000672;0,000803;0,001475
353;20.389.471;192,168,43,84;104.118.148.140;TCP;54;57209  >  443 [ACK] Seq=618 Ack=21167 Win=131072 Len=0;;20,389471;20,390274;0,000803;;0,000735;6,80E-05;-0,000667
354;20.390.274;104.118.148.140;192,168,43,84;TLSv1,2;1287;Application Data;;20,390274;20,390342;6,80E-05;;-0,000165;0,000233;0,000398
355;20.390.342;192,168,43,84;104.118.148.140;TCP;54;57209  >  443 [ACK] Seq=618 Ack=22400 Win=129792 Len=0;;20,390342;20,390575;0,000233;;-0,001668;0,001901;0,003569
356;20.390.575;104.118.148.140;192,168,43,84;TCP;1434;443  >  57209 [ACK] Seq=22400 Ack=618 Win=31360 Len=1380 [TCP segment of a reassembled PDU];;20,390575;20,392476;0,001901;;0,001845;5,60E-05;-0,001789
357;20.392.476;104.118.148.140;192,168,43,84;TCP;1434;443  >  57209 [ACK] Seq=23780 Ack=618 Win=31360 Len=1380 [TCP segment of a reassembled PDU];;20,392476;20,392532;5,60E-05;;-0,000437;0,000493;0,00093
358;20.392.532;192,168,43,84;104.118.148.140;TCP;54;57209  >  443 [ACK] Seq=618 Ack=25160 Win=131072 Len=0;;20,392532;20,393025;0,000493;;0,000435;5,80E-05;-0,000377
359;20.393.025;104.118.148.140;192,168,43,84;TCP;2814;443  >  57209 [ACK] Seq=25160 Ack=618 Win=31360 Len=2760 [TCP segment of a reassembled PDU];;20,393025;20,393083;5,80E-05;;-0,05056;0,050618;0,101178
360;20.393.083;192,168,43,84;104.118.148.140;TCP;54;57209  >  443 [ACK] Seq=618 Ack=27920 Win=131072 Len=0;;20,393083;20,443701;0,050618;;0,050216;0,000402;-0,049814
361;20.443.701;104.118.148.140;192,168,43,84;TCP;1434;443  >  57209 [ACK] Seq=27920 Ack=618 Win=31360 Len=1380 [TCP segment of a reassembled PDU];;20,443701;20,444103;0,000402;;0,000362;4,00E-05;-0,000322
362;20.444.103;104.118.148.140;192,168,43,84;TCP;1434;443  >  57209 [ACK] Seq=29300 Ack=618 Win=31360 Len=1380 [TCP segment of a reassembled PDU];;20,444103;20,444143;4,00E-05;;-0,002077;0,002117;0,004194
363;20.444.143;192,168,43,84;104.118.148.140;TCP;54;57209  >  443 [ACK] Seq=618 Ack=30680 Win=131072 Len=0;;20,444143;20,44626;0,002117;;0,001723;0,000394;-0,001329
364;20.446.260;104.118.148.140;192,168,43,84;TCP;1434;443  >  57209 [ACK] Seq=30680 Ack=618 Win=31360 Len=1380 [TCP segment of a reassembled PDU];;20,44626;20,446654;0,000394;;0,000332;6,20E-05;-0,00027
365;20.446.654;104.118.148.140;192,168,43,84;TCP;1434;443  >  57209 [ACK] Seq=32060 Ack=618 Win=31360 Len=1380 [TCP segment of a reassembled PDU];;20,446654;20,446716;6,20E-05;;-0,001798;0,00186;0,003658
366;20.446.716;192,168,43,84;104.118.148.140;TCP;54;57209  >  443 [ACK] Seq=618 Ack=33440 Win=131072 Len=0;;20,446716;20,448576;0,00186;;0,0015;0,00036;-0,00114
367;20.448.576;104.118.148.140;192,168,43,84;TCP;1434;443  >  57209 [ACK] Seq=33440 Ack=618 Win=31360 Len=1380 [TCP segment of a reassembled PDU];;20,448576;20,448936;0,00036;;0,000276;8,40E-05;-0,000192
368;20.448.936;104.118.148.140;192,168,43,84;TCP;1434;443  >  57209 [ACK] Seq=34820 Ack=618 Win=31360 Len=1380 [TCP segment of a reassembled PDU];;20,448936;20,44902;8,40E-05;;-0,000503;0,000587;0,00109
369;20.449.020;192,168,43,84;104.118.148.140;TCP;54;57209  >  443 [ACK] Seq=618 Ack=36200 Win=131072 Len=0;;20,44902;20,449607;0,000587;;0,000198;0,000389;0,000191
370;20.449.607;104.118.148.140;192,168,43,84;TCP;1434;443  >  57209 [ACK] Seq=36200 Ack=618 Win=31360 Len=1380 [TCP segment of a reassembled PDU];;20,449607;20,449996;0,000389;;0,000351;3,80E-05;-0,000313
371;20.449.996;104.118.148.140;192,168,43,84;TLSv1,2;1434;Application Data [TCP segment of a reassembled PDU];;20,449996;20,450034;3,80E-05;;-0,00093;0,000968;0,001898
372;20.450.034;192,168,43,84;104.118.148.140;TCP;54;57209  >  443 [ACK] Seq=618 Ack=38960 Win=131072 Len=0;;20,450034;20,451002;0,000968;;-0,001826;0,002794;0,00462
373;20.451.002;104.118.148.140;192,168,43,84;TCP;1434;443  >  57209 [ACK] Seq=38960 Ack=618 Win=31360 Len=1380 [TCP segment of a reassembled PDU];;20,451002;20,453796;0,002794;;0,002722;7,20E-05;-0,00265
374;20.453.796;104.118.148.140;192,168,43,84;TLSv1,2;1434;Application Data [TCP segment of a reassembled PDU];;20,453796;20,453868;7,20E-05;;-3,20E-05;0,000104;0,000136
375;20.453.868;192,168,43,84;104.118.148.140;TCP;54;57209  >  443 [ACK] Seq=618 Ack=41720 Win=131072 Len=0;;20,453868;20,453972;0,000104;;-0,001985;0,002089;0,004074
376;20.453.972;104.118.148.140;192,168,43,84;TCP;1434;443  >  57209 [ACK] Seq=41720 Ack=618 Win=31360 Len=1380 [TCP segment of a reassembled PDU];;20,453972;20,456061;0,002089;;0,002022;6,70E-05;-0,001955
377;20.456.061;104.118.148.140;192,168,43,84;TCP;1434;443  >  57209 [ACK] Seq=43100 Ack=618 Win=31360 Len=1380 [TCP segment of a reassembled PDU];;20,456061;20,456128;6,70E-05;;-0,000224;0,000291;0,000515
378;20.456.128;192,168,43,84;104.118.148.140;TCP;54;57209  >  443 [ACK] Seq=618 Ack=44480 Win=131072 Len=0;;20,456128;20,456419;0,000291;;-0,001685;0,001976;0,003661
379;20.456.419;104.118.148.140;192,168,43,84;TCP;1434;443  >  57209 [ACK] Seq=44480 Ack=618 Win=31360 Len=1380 [TCP segment of a reassembled PDU];;20,456419;20,458395;0,001976;;0,001914;6,20E-05;-0,001852
380;20.458.395;104.118.148.140;192,168,43,84;TCP;1434;443  >  57209 [ACK] Seq=45860 Ack=618 Win=31360 Len=1380 [TCP segment of a reassembled PDU];;20,458395;20,458457;6,20E-05;;-0,000526;0,000588;0,001114
381;20.458.457;192,168,43,84;104.118.148.140;TCP;54;57209  >  443 [ACK] Seq=618 Ack=47240 Win=131072 Len=0;;20,458457;20,459045;0,000588;;0,000536;5,20E-05;-0,000484
382;20.459.045;104.118.148.140;192,168,43,84;TCP;4194;443  >  57209 [ACK] Seq=47240 Ack=618 Win=31360 Len=4140 [TCP segment of a reassembled PDU];;20,459045;20,459097;5,20E-05;;-0,000716;0,000768;0,001484
383;20.459.097;192,168,43,84;104.118.148.140;TCP;54;57209  >  443 [ACK] Seq=618 Ack=51380 Win=131072 Len=0;;20,459097;20,459865;0,000768;;0,000734;3,40E-05;-0,0007
384;20.459.865;104.118.148.140;192,168,43,84;TCP;1434;443  >  57209 [ACK] Seq=51380 Ack=618 Win=31360 Len=1380 [TCP segment of a reassembled PDU];;20,459865;20,459899;3,40E-05;;-0,010966;0,011;0,021966
385;20.459.899;192,168,43,84;104.118.148.140;TCP;54;57209  >  443 [ACK] Seq=618 Ack=52760 Win=131072 Len=0;;20,459899;20,470899;0,011;;0,010429;0,000571;-0,009858
386;20.470.899;104.118.148.140;192,168,43,84;TCP;1434;443  >  57209 [ACK] Seq=52760 Ack=618 Win=31360 Len=1380 [TCP segment of a reassembled PDU];;20,470899;20,47147;0,000571;;0,000473;9,80E-05;-0,000375
387;20.471.470;104.118.148.140;192,168,43,84;TCP;2814;443  >  57209 [ACK] Seq=54140 Ack=618 Win=31360 Len=2760 [TCP segment of a reassembled PDU];;20,47147;20,471568;9,80E-05;;-0,00175;0,001848;0,003598
388;20.471.568;192,168,43,84;104.118.148.140;TCP;54;57209  >  443 [ACK] Seq=618 Ack=56900 Win=131072 Len=0;;20,471568;20,473416;0,001848;;0,001784;6,40E-05;-0,00172
389;20.473.416;104.118.148.140;192,168,43,84;TLSv1,2;1434;Application Data [TCP segment of a reassembled PDU];;20,473416;20,47348;6,40E-05;;-0,000721;0,000785;0,001506
390;20.473.480;192,168,43,84;104.118.148.140;TCP;54;57209  >  443 [ACK] Seq=618 Ack=58280 Win=131072 Len=0;;20,47348;20,474265;0,000785;;0,000744;4,10E-05;-0,000703
391;20.474.265;104.118.148.140;192,168,43,84;TCP;4194;443  >  57209 [ACK] Seq=58280 Ack=618 Win=31360 Len=4140 [TCP segment of a reassembled PDU];;20,474265;20,474306;4,10E-05;;-0,000769;0,00081;0,001579
392;20.474.306;192,168,43,84;104.118.148.140;TCP;54;57209  >  443 [ACK] Seq=618 Ack=62420 Win=131072 Len=0;;20,474306;20,475116;0,00081;;0,000772;3,80E-05;-0,000734
393;20.475.116;104.118.148.140;192,168,43,84;TCP;1434;443  >  57209 [ACK] Seq=62420 Ack=618 Win=31360 Len=1380 [TCP segment of a reassembled PDU];;20,475116;20,475154;3,80E-05;;-0,000948;0,000986;0,001934
394;20.475.154;192,168,43,84;104.118.148.140;TCP;54;57209  >  443 [ACK] Seq=618 Ack=63800 Win=131072 Len=0;;20,475154;20,47614;0,000986;;0,000638;0,000348;-0,00029
395;20.476.140;104.118.148.140;192,168,43,84;TCP;1434;443  >  57209 [ACK] Seq=63800 Ack=618 Win=31360 Len=1380 [TCP segment of a reassembled PDU];;20,47614;20,476488;0,000348;;0,000301;4,70E-05;-0,000254
396;20.476.488;104.118.148.140;192,168,43,84;TCP;1434;443  >  57209 [ACK] Seq=65180 Ack=618 Win=31360 Len=1380 [TCP segment of a reassembled PDU];;20,476488;20,476535;4,70E-05;;-0,009594;0,009641;0,019235
397;20.476.535;192,168,43,84;104.118.148.140;TCP;54;57209  >  443 [ACK] Seq=618 Ack=66560 Win=131072 Len=0;;20,476535;20,486176;0,009641;;0,00604;0,003601;-0,002439
398;20.486.176;104.118.148.140;192,168,43,84;TCP;1434;443  >  57209 [ACK] Seq=66560 Ack=618 Win=31360 Len=1380 [TCP segment of a reassembled PDU];;20,486176;20,489777;0,003601;;0,00354;6,10E-05;-0,003479
399;20.489.777;104.118.148.140;192,168,43,84;TCP;1434;443  >  57209 [ACK] Seq=67940 Ack=618 Win=31360 Len=1380 [TCP segment of a reassembled PDU];;20,489777;20,489838;6,10E-05;;-0,00094;0,001001;0,001941
400;20.489.838;192,168,43,84;104.118.148.140;TCP;54;57209  >  443 [ACK] Seq=618 Ack=69320 Win=131072 Len=0;;20,489838;20,490839;0,001001;;0,000584;0,000417;-0,000167
401;20.490.839;104.118.148.140;192,168,43,84;TLSv1,2;1434;Application Data [TCP segment of a reassembled PDU];;20,490839;20,491256;0,000417;;0,000377;4,00E-05;-0,000337
402;20.491.256;104.118.148.140;192,168,43,84;TCP;1434;443  >  57209 [ACK] Seq=70700 Ack=618 Win=31360 Len=1380 [TCP segment of a reassembled PDU];;20,491256;20,491296;4,00E-05;;-0,01358;0,01362;0,0272
403;20.491.296;192,168,43,84;104.118.148.140;TCP;54;57209  >  443 [ACK] Seq=618 Ack=72080 Win=131072 Len=0;;20,491296;20,504916;0,01362;;0,013355;0,000265;-0,01309
404;20.504.916;104.118.148.140;192,168,43,84;TCP;1434;443  >  57209 [ACK] Seq=72080 Ack=618 Win=31360 Len=1380 [TCP segment of a reassembled PDU];;20,504916;20,505181;0,000265;;0,000205;6,00E-05;-0,000145
405;20.505.181;104.118.148.140;192,168,43,84;TCP;1434;443  >  57209 [ACK] Seq=73460 Ack=618 Win=31360 Len=1380 [TCP segment of a reassembled PDU];;20,505181;20,505241;6,00E-05;;-0,00247;0,00253;0,005
406;20.505.241;192,168,43,84;104.118.148.140;TCP;54;57209  >  443 [ACK] Seq=618 Ack=74840 Win=131072 Len=0;;20,505241;20,507771;0,00253;;0,00085;0,00168;0,00083
407;20.507.771;104.118.148.140;192,168,43,84;TCP;1434;443  >  57209 [ACK] Seq=74840 Ack=618 Win=31360 Len=1380 [TCP segment of a reassembled PDU];;20,507771;20,509451;0,00168;;0,00164;4,00E-05;-0,0016
408;20.509.451;104.118.148.140;192,168,43,84;TCP;1434;443  >  57209 [ACK] Seq=76220 Ack=618 Win=31360 Len=1380 [TCP segment of a reassembled PDU];;20,509451;20,509491;4,00E-05;;-0,000286;0,000326;0,000612
409;20.509.491;192,168,43,84;104.118.148.140;TCP;54;57209  >  443 [ACK] Seq=618 Ack=77600 Win=131072 Len=0;;20,509491;20,509817;0,000326;;-0,002217;0,002543;0,00476
410;20.509.817;104.118.148.140;192,168,43,84;TCP;1434;443  >  57209 [ACK] Seq=77600 Ack=618 Win=31360 Len=1380 [TCP segment of a reassembled PDU];;20,509817;20,51236;0,002543;;0,002478;6,50E-05;-0,002413
411;20.512.360;104.118.148.140;192,168,43,84;TCP;1434;443  >  57209 [ACK] Seq=78980 Ack=618 Win=31360 Len=1380 [TCP segment of a reassembled PDU];;20,51236;20,512425;6,50E-05;;-0,000365;0,00043;0,000795
412;20.512.425;192,168,43,84;104.118.148.140;TCP;54;57209  >  443 [ACK] Seq=618 Ack=80360 Win=131072 Len=0;;20,512425;20,512855;0,00043;;0,000362;6,80E-05;-0,000294
413;20.512.855;104.118.148.140;192,168,43,84;TCP;2814;443  >  57209 [ACK] Seq=80360 Ack=618 Win=31360 Len=2760 [TCP segment of a reassembled PDU];;20,512855;20,512923;6,80E-05;;-0,001252;0,00132;0,002572
414;20.512.923;192,168,43,84;104.118.148.140;TCP;54;57209  >  443 [ACK] Seq=618 Ack=83120 Win=131072 Len=0;;20,512923;20,514243;0,00132;;0,001255;6,50E-05;-0,00119
415;20.514.243;104.118.148.140;192,168,43,84;TCP;2814;443  >  57209 [ACK] Seq=83120 Ack=618 Win=31360 Len=2760 [TCP segment of a reassembled PDU];;20,514243;20,514308;6,50E-05;;-0,000367;0,000432;0,000799
416;20.514.308;192,168,43,84;104.118.148.140;TCP;54;57209  >  443 [ACK] Seq=618 Ack=85880 Win=131072 Len=0;;20,514308;20,51474;0,000432;;-0,000494;0,000926;0,00142
417;20.514.740;104.118.148.140;192,168,43,84;TLSv1,2;1434;Application Data [TCP segment of a reassembled PDU];;20,51474;20,515666;0,000926;;0,000864;6,20E-05;-0,000802
418;20.515.666;104.118.148.140;192,168,43,84;TCP;1434;443  >  57209 [ACK] Seq=87260 Ack=618 Win=31360 Len=1380 [TCP segment of a reassembled PDU];;20,515666;20,515728;6,20E-05;;-0,015155;0,015217;0,030372
419;20.515.728;192,168,43,84;104.118.148.140;TCP;54;57209  >  443 [ACK] Seq=618 Ack=88640 Win=131072 Len=0;;20,515728;20,530945;0,015217;;0,015139;7,80E-05;-0,015061
420;20.530.945;104.118.148.140;192,168,43,84;TCP;1434;443  >  57209 [ACK] Seq=88640 Ack=618 Win=31360 Len=1380 [TCP segment of a reassembled PDU];;20,530945;20,531023;7,80E-05;;5,10E-05;2,70E-05;-2,40E-05
421;20.531.023;104.118.148.140;192,168,43,84;TCP;1434;443  >  57209 [ACK] Seq=90020 Ack=618 Win=31360 Len=1380 [TCP segment of a reassembled PDU];;20,531023;20,53105;2,70E-05;;-0,017913;0,01794;0,035853
422;20.531.050;192,168,43,84;104.118.148.140;TCP;54;57209  >  443 [ACK] Seq=618 Ack=91400 Win=131072 Len=0;;20,53105;20,54899;0,01794;;0,017747;0,000193;-0,017554
423;20.548.990;104.118.148.140;192,168,43,84;TCP;1434;443  >  57209 [ACK] Seq=91400 Ack=618 Win=31360 Len=1380 [TCP segment of a reassembled PDU];;20,54899;20,549183;0,000193;;0,000141;5,20E-05;-8,90E-05
424;20.549.183;104.118.148.140;192,168,43,84;TCP;2814;443  >  57209 [ACK] Seq=92780 Ack=618 Win=31360 Len=2760 [TCP segment of a reassembled PDU];;20,549183;20,549235;5,20E-05;;-0,012286;0,012338;0,024624
425;20.549.235;192,168,43,84;104.118.148.140;TCP;54;57209  >  443 [ACK] Seq=618 Ack=95540 Win=131072 Len=0;;20,549235;20,561573;0,012338;;0,01225;8,80E-05;-0,012162
426;20.561.573;104.118.148.140;192,168,43,84;TCP;1434;443  >  57209 [ACK] Seq=95540 Ack=618 Win=31360 Len=1380 [TCP segment of a reassembled PDU];;20,561573;20,561661;8,80E-05;;-0,001622;0,00171;0,003332
427;20.561.661;192,168,43,84;104.118.148.140;TCP;54;57209  >  443 [ACK] Seq=618 Ack=96920 Win=131072 Len=0;;20,561661;20,563371;0,00171;;0,001602;0,000108;-0,001494
428;20.563.371;104.118.148.140;192,168,43,84;TCP;1434;443  >  57209 [ACK] Seq=96920 Ack=618 Win=31360 Len=1380 [TCP segment of a reassembled PDU];;20,563371;20,563479;0,000108;;6,70E-05;4,10E-05;-2,60E-05
429;20.563.479;104.118.148.140;192,168,43,84;TCP;1434;443  >  57209 [ACK] Seq=98300 Ack=618 Win=31360 Len=1380 [TCP segment of a reassembled PDU];;20,563479;20,56352;4,10E-05;;-0,011164;0,011205;0,022369
430;20.563.520;192,168,43,84;104.118.148.140;TCP;54;57209  >  443 [ACK] Seq=618 Ack=99680 Win=131072 Len=0;;20,56352;20,574725;0,011205;;0,01016;0,001045;-0,009115
431;20.574.725;104.118.148.140;192,168,43,84;TCP;1434;443  >  57209 [ACK] Seq=99680 Ack=618 Win=31360 Len=1380 [TCP segment of a reassembled PDU];;20,574725;20,57577;0,001045;;0,000948;9,70E-05;-0,000851
432;20.575.770;104.118.148.140;192,168,43,84;TLSv1,2;6954;Application Data [TCP segment of a reassembled PDU];;20,57577;20,575867;9,70E-05;;-0,009564;0,009661;0,019225
433;20.575.867;192,168,43,84;104.118.148.140;TCP;54;57209  >  443 [ACK] Seq=618 Ack=107960 Win=131072 Len=0;;20,575867;20,585528;0,009661;;-0,017006;0,026667;0,043673
434;20.585.528;192,168,43,84;184,72,128,137;TCP;55;[TCP Keep-Alive] 56881  >  443 [ACK] Seq=1 Ack=1 Win=64860 Len=1;;20,585528;20,612195;0,026667;;0,02644;0,000227;-0,026213
435;20.612.195;104.118.148.140;192,168,43,84;TCP;1434;443  >  57209 [ACK] Seq=107960 Ack=618 Win=31360 Len=1380 [TCP segment of a reassembled PDU];;20,612195;20,612422;0,000227;;0,00018;4,70E-05;-0,000133
436;20.612.422;104.118.148.140;192,168,43,84;TCP;66;443  >  57209 [PSH, ACK] Seq=109340 Ack=618 Win=31360 Len=12 [TCP segment of a reassembled PDU];;20,612422;20,612469;4,70E-05;;-0,0018;0,001847;0,003647
437;20.612.469;192,168,43,84;104.118.148.140;TCP;54;57209  >  443 [ACK] Seq=618 Ack=109352 Win=131072 Len=0;;20,612469;20,614316;0,001847;;-0,005698;0,007545;0,013243
438;20.614.316;104.118.148.140;192,168,43,84;TCP;1434;443  >  57209 [ACK] Seq=109352 Ack=618 Win=31360 Len=1380 [TCP segment of a reassembled PDU];;20,614316;20,621861;0,007545;;0,007487;5,80E-05;-0,007429
439;20.621.861;104.118.148.140;192,168,43,84;TLSv1,2;1434;Application Data [TCP segment of a reassembled PDU];;20,621861;20,621919;5,80E-05;;-0,002422;0,00248;0,004902
440;20.621.919;192,168,43,84;104.118.148.140;TCP;54;57209  >  443 [ACK] Seq=618 Ack=112112 Win=131072 Len=0;;20,621919;20,624399;0,00248;;0,000235;0,002245;0,00201
441;20.624.399;104.118.148.140;192,168,43,84;TCP;1434;443  >  57209 [ACK] Seq=112112 Ack=618 Win=31360 Len=1380 [TCP segment of a reassembled PDU];;20,624399;20,626644;0,002245;;0,002197;4,80E-05;-0,002149
442;20.626.644;104.118.148.140;192,168,43,84;TCP;1434;443  >  57209 [ACK] Seq=113492 Ack=618 Win=31360 Len=1380 [TCP segment of a reassembled PDU];;20,626644;20,626692;4,80E-05;;-0,007417;0,007465;0,014882
443;20.626.692;192,168,43,84;104.118.148.140;TCP;54;57209  >  443 [ACK] Seq=618 Ack=114872 Win=131072 Len=0;;20,626692;20,634157;0,007465;;0,00741;5,50E-05;-0,007355
444;20.634.157;104.118.148.140;192,168,43,84;TCP;1434;443  >  57209 [ACK] Seq=114872 Ack=618 Win=31360 Len=1380 [TCP segment of a reassembled PDU];;20,634157;20,634212;5,50E-05;;3,70E-05;1,80E-05;-1,90E-05
445;20.634.212;104.118.148.140;192,168,43,84;TCP;1434;443  >  57209 [ACK] Seq=116252 Ack=618 Win=31360 Len=1380 [TCP segment of a reassembled PDU];;20,634212;20,63423;1,80E-05;;-0,00353;0,003548;0,007078
446;20.634.230;192,168,43,84;104.118.148.140;TCP;54;57209  >  443 [ACK] Seq=618 Ack=117632 Win=131072 Len=0;;20,63423;20,637778;0,003548;;-0,004712;0,00826;0,012972
447;20.637.778;104.118.148.140;192,168,43,84;TCP;1434;443  >  57209 [ACK] Seq=117632 Ack=618 Win=31360 Len=1380 [TCP segment of a reassembled PDU];;20,637778;20,646038;0,00826;;0,008214;4,60E-05;-0,008168
448;20.646.038;104.118.148.140;192,168,43,84;TCP;1434;443  >  57209 [ACK] Seq=119012 Ack=618 Win=31360 Len=1380 [TCP segment of a reassembled PDU];;20,646038;20,646084;4,60E-05;;-4,00E-06;5,00E-05;5,40E-05
449;20.646.084;192,168,43,84;104.118.148.140;TCP;54;57209  >  443 [ACK] Seq=618 Ack=120392 Win=131072 Len=0;;20,646084;20,646134;5,00E-05;;-0,012152;0,012202;0,024354
450;20.646.134;104.118.148.140;192,168,43,84;TCP;1434;443  >  57209 [ACK] Seq=120392 Ack=618 Win=31360 Len=1380 [TCP segment of a reassembled PDU];;20,646134;20,658336;0,012202;;0,012135;6,70E-05;-0,012068
451;20.658.336;104.118.148.140;192,168,43,84;TCP;1434;443  >  57209 [ACK] Seq=121772 Ack=618 Win=31360 Len=1380 [TCP segment of a reassembled PDU];;20,658336;20,658403;6,70E-05;;-0,030961;0,031028;0,061989
452;20.658.403;192,168,43,84;104.118.148.140;TCP;54;57209  >  443 [ACK] Seq=618 Ack=123152 Win=131072 Len=0;;20,658403;20,689431;0,031028;;0,028554;0,002474;-0,02608
453;20.689.431;104.118.148.140;192,168,43,84;TCP;1434;443  >  57209 [ACK] Seq=123152 Ack=618 Win=31360 Len=1380 [TCP segment of a reassembled PDU];;20,689431;20,691905;0,002474;;0,002415;5,90E-05;-0,002356
454;20.691.905;104.118.148.140;192,168,43,84;TCP;1434;443  >  57209 [ACK] Seq=124532 Ack=618 Win=31360 Len=1380 [TCP segment of a reassembled PDU];;20,691905;20,691964;5,90E-05;;-0,008328;0,008387;0,016715
455;20.691.964;192,168,43,84;104.118.148.140;TCP;54;57209  >  443 [ACK] Seq=618 Ack=125912 Win=131072 Len=0;;20,691964;20,700351;0,008387;;0,007133;0,001254;-0,005879
456;20.700.351;104.118.148.140;192,168,43,84;TCP;1434;443  >  57209 [ACK] Seq=125912 Ack=618 Win=31360 Len=1380 [TCP segment of a reassembled PDU];;20,700351;20,701605;0,001254;;0,001207;4,70E-05;-0,00116
457;20.701.605;104.118.148.140;192,168,43,84;TLSv1,2;6954;Application Data [TCP segment of a reassembled PDU];;20,701605;20,701652;4,70E-05;;-0,010438;0,010485;0,020923
458;20.701.652;192,168,43,84;104.118.148.140;TCP;54;57209  >  443 [ACK] Seq=618 Ack=134192 Win=131072 Len=0;;20,701652;20,712137;0,010485;;0,009729;0,000756;-0,008973
459;20.712.137;104.118.148.140;192,168,43,84;TLSv1,2;1434;Application Data [TCP segment of a reassembled PDU];;20,712137;20,712893;0,000756;;0,000703;5,30E-05;-0,00065
460;20.712.893;104.118.148.140;192,168,43,84;TCP;5574;443  >  57209 [ACK] Seq=135572 Ack=618 Win=31360 Len=5520 [TCP segment of a reassembled PDU];;20,712893;20,712946;5,30E-05;;-0,000598;0,000651;0,001249
461;20.712.946;192,168,43,84;104.118.148.140;TCP;54;57209  >  443 [ACK] Seq=618 Ack=141092 Win=131072 Len=0;;20,712946;20,713597;0,000651;;0,000628;2,30E-05;-0,000605
462;20.713.597;104.118.148.140;192,168,43,84;TCP;1434;443  >  57209 [ACK] Seq=141092 Ack=618 Win=31360 Len=1380 [TCP segment of a reassembled PDU];;20,713597;20,71362;2,30E-05;;-0,000888;0,000911;0,001799
463;20.713.620;192,168,43,84;104.118.148.140;TCP;54;57209  >  443 [ACK] Seq=618 Ack=142472 Win=131072 Len=0;;20,71362;20,714531;0,000911;;0,000887;2,40E-05;-0,000863
464;20.714.531;104.118.148.140;192,168,43,84;TCP;5574;443  >  57209 [ACK] Seq=142472 Ack=618 Win=31360 Len=5520 [TCP segment of a reassembled PDU];;20,714531;20,714555;2,40E-05;;-0,000738;0,000762;0,0015
465;20.714.555;192,168,43,84;104.118.148.140;TCP;54;57209  >  443 [ACK] Seq=618 Ack=147992 Win=131072 Len=0;;20,714555;20,715317;0,000762;;0,000428;0,000334;-9,40E-05
466;20.715.317;104.118.148.140;192,168,43,84;TCP;1434;443  >  57209 [ACK] Seq=147992 Ack=618 Win=31360 Len=1380 [TCP segment of a reassembled PDU];;20,715317;20,715651;0,000334;;0,000298;3,60E-05;-0,000262
467;20.715.651;104.118.148.140;192,168,43,84;TCP;1434;443  >  57209 [ACK] Seq=149372 Ack=618 Win=31360 Len=1380 [TCP segment of a reassembled PDU];;20,715651;20,715687;3,60E-05;;-0,000921;0,000957;0,001878
468;20.715.687;192,168,43,84;104.118.148.140;TCP;54;57209  >  443 [ACK] Seq=618 Ack=150752 Win=131072 Len=0;;20,715687;20,716644;0,000957;;0,000341;0,000616;0,000275
469;20.716.644;104.118.148.140;192,168,43,84;TLSv1,2;1434;Application Data [TCP segment of a reassembled PDU];;20,716644;20,71726;0,000616;;0,000597;1,90E-05;-0,000578
470;20.717.260;104.118.148.140;192,168,43,84;TCP;2814;443  >  57209 [ACK] Seq=152132 Ack=618 Win=31360 Len=2760 [TCP segment of a reassembled PDU];;20,71726;20,717279;1,90E-05;;-0,000304;0,000323;0,000627
471;20.717.279;192,168,43,84;104.118.148.140;TCP;54;57209  >  443 [ACK] Seq=618 Ack=154892 Win=131072 Len=0;;20,717279;20,717602;0,000323;;0,000307;1,60E-05;-0,000291
472;20.717.602;104.118.148.140;192,168,43,84;TCP;1434;443  >  57209 [ACK] Seq=154892 Ack=618 Win=31360 Len=1380 [TCP segment of a reassembled PDU];;20,717602;20,717618;1,60E-05;;-0,001799;0,001815;0,003614
